# Two-player controller-only route from 2P START through stable Level 5.
# No password and no RAM patches.
0,0,0
600,8,0
602,0,0
800,4,0
802,0,0
900,8,0
902,0,0
1420,130,66
1432,128,64
1444,130,66
1456,2,2
1468,66,130
1480,64,128
1492,66,130
1504,2,2
1516,130,66
1528,128,64
1540,130,66
1552,2,2
1564,66,130
1576,64,128
1588,66,130
1600,2,2
1612,130,66
1624,128,64
1636,130,66
1648,2,2
1660,66,130
1672,64,128
1684,66,130
1696,2,2
1708,130,66
1720,128,64
1732,130,66
1744,2,2
1756,66,130
1768,64,128
1780,66,130
1792,2,2
1804,130,66
1816,128,64
1828,130,66
1840,2,2
1852,66,130
1864,64,128
1876,66,130
1888,2,2
1900,130,66
1912,128,64
1924,130,66
1936,2,2
1948,66,130
1960,64,128
1972,66,130
1984,2,2
1996,130,66
2008,128,64
2020,130,66
2032,2,2
2044,66,130
2056,64,128
2068,66,130
2080,2,2
2092,130,66
2104,128,64
2116,130,66
2128,2,2
2140,66,130
2152,64,128
2164,66,130
2176,2,2
2188,130,66
2200,128,64
2212,130,66
2224,2,2
2236,66,130
2248,64,128
2260,66,130
2272,2,2
2284,130,66
2296,128,64
2308,130,66
2320,2,2
2332,66,130
2344,64,128
2356,66,130
2368,2,2
2380,130,66
2392,128,64
2404,130,66
2416,2,2
2428,66,130
2440,64,128
2452,66,130
2464,2,2
2476,130,66
2488,128,64
2500,130,66
2512,2,2
2524,66,130
2536,64,128
2548,66,130
2560,2,2
2572,130,66
2584,128,64
2596,130,66
2608,2,2
2620,66,130
2632,64,128
2644,66,130
2656,2,2
2668,130,66
2680,128,64
2692,130,66
2704,2,2
2716,66,130
2728,64,128
2740,66,130
2752,2,2
2764,130,66
2776,128,64
2788,130,66
2800,2,2
2812,66,130
2824,64,128
2836,66,130
2848,2,2
2860,130,66
2872,128,64
2884,130,66
2896,2,2
2908,66,130
2920,64,128
2932,66,130
2944,2,2
2956,130,66
2968,128,64
2980,130,66
2992,2,2
3004,66,130
3016,64,128
3028,66,130
3040,2,2
3052,130,66
3064,128,64
3076,130,66
3088,2,2
3100,66,130
3112,64,128
3124,66,130
3136,2,2
3148,130,66
3160,128,64
3172,130,66
3184,2,2
3196,66,130
3208,64,128
3220,66,130
3232,2,2
3244,130,66
3256,128,64
3268,130,66
3280,2,2
3292,66,130
