0,0,0
600,8,0
602,0,0
800,4,0
802,0,0
900,8,0
902,0,0
1420,130,66
1428,131,67
1432,129,65
1434,128,64
1444,130,66
1449,131,67
1455,130,66
1456,2,2
1468,66,130
1470,67,131
1476,66,130
1480,64,128
1491,65,129
1492,67,131
1497,66,130
1504,2,2
1512,3,3
1516,131,67
1518,130,66
1528,128,64
1533,129,65
1539,128,64
1540,130,66
1552,2,2
1554,3,3
1560,2,2
1564,66,130
1575,67,131
1576,65,129
1581,64,128
1588,66,130
1596,67,131
1600,3,3
1602,2,2
1612,130,66
1617,131,67
1623,130,66
1624,128,64
1636,130,66
1638,131,67
1644,130,66
1648,2,2
1659,3,3
1660,67,131
1665,66,130
1672,64,128
1680,65,129
1684,67,131
1686,66,130
1696,2,2
1701,3,3
1707,2,2
1708,130,66
1720,128,64
1722,129,65
1728,128,64
1732,130,66
1743,131,67
1744,3,3
1749,2,2
1756,66,130
1764,67,131
1768,65,129
1770,64,128
1780,66,130
1785,67,131
1791,66,130
1792,2,2
1804,130,66
1806,131,67
1812,130,66
1816,128,64
1827,129,65
1828,131,67
1833,130,66
1840,2,2
1848,3,3
1852,67,131
1854,66,130
1864,64,128
1869,65,129
1875,64,128
1876,66,130
1888,2,2
1890,3,3
1896,2,2
1900,130,66
1911,131,67
1912,129,65
1917,128,64
1924,130,66
1932,131,67
1936,3,3
1938,2,2
1948,66,130
1953,67,131
1959,66,130
1960,64,128
1972,66,130
1974,67,131
1980,66,130
1984,2,2
1995,3,3
1996,131,67
2001,129,65
2013,131,64
2016,131,65
2022,131,64
2023,2,2
2037,3,3
2043,65,129
2047,131,67
2063,129,65
2087,1,130
2095,130,66
2100,131,67
2106,130,66
2121,131,67
2127,130,66
2142,131,67
2148,130,66
2149,131,67
2159,2,2
2163,3,3
2169,2,2
2175,1,2
2177,64,67
2184,65,67
2190,64,67
2193,0,129
2205,1,129
2211,0,129
2217,129,129
2227,65,65
2251,65,3
2253,64,2
2257,64,128
2267,1,67
2273,3,131
2274,2,131
2289,3,131
2295,2,131
2297,0,131
2310,1,131
2316,0,131
2321,0,2
2331,1,3
2337,0,2
2345,64,65
2352,65,65
2357,129,1
2358,129,0
2373,129,1
2379,129,0
2381,65,129
2401,0,65
2415,1,65
2425,128,1
2436,129,1
2442,128,1
2455,64,2
2457,65,3
